N=10;
nK1=3;
nK2=4;
nK3=3;
K1=[1 	7 	8 	];
K2=[3 	6 	9 	10 	];
K3=[2 	4 	5 	];
DG=[39	5.590000e+01	5.590000e+01	52	65	4.030000e+01	2.990000e+01	6.370000e+01	3.380000e+01	5.720000e+01	];
LOAD=[30	43	43	40	50	31	23	49	26	44	];
DIST=[[0.000	6.631	1.899	6.079	2.389	3.224	6.132	4.724	4.881	4.826	]
[6.631	0.000	6.153	7.423	4.964	3.408	7.694	2.471	9.159	8.697	]
[1.899	6.153	0.000	4.187	3.416	3.072	4.252	3.830	3.556	3.326	]
[6.079	7.423	4.187	0.000	7.223	5.945	0.293	5.145	3.324	2.756	]
[2.389	4.964	3.416	7.223	0.000	1.946	7.362	3.839	6.925	6.737	]
[3.224	3.408	3.072	5.945	1.946	0.000	6.138	1.893	6.519	6.181	]
[6.132	7.694	4.252	0.293	7.362	6.138	0.000	5.396	3.127	2.571	]
[4.724	2.471	3.830	5.145	3.839	1.893	5.396	0.000	6.688	6.226	]
[4.881	9.159	3.556	3.324	6.925	6.519	3.127	6.688	0.000	0.585	]
[4.826	8.697	3.326	2.756	6.737	6.181	2.571	6.226	0.585	0.000	]
];
