N=20;
nK1=8;
nK2=7;
nK3=5;
K1=[2 	5 	8 	11 	12 	16 	18 	19 	];
K2=[1 	3 	4 	10 	13 	17 	20 	];
K3=[6 	7 	9 	14 	15 	];
DG=[45	69	3.150000e+01	72	3.450000e+01	3.150000e+01	48	30	6.750000e+01	4.950000e+01	66	3.150000e+01	3.750000e+01	5.850000e+01	6.750000e+01	3.150000e+01	4.950000e+01	72	5.250000e+01	7.350000e+01	];
LOAD=[30	46	21	48	23	21	32	20	45	33	44	21	25	39	45	21	33	48	35	49	];
DIST=[[0.000	6.001	5.939	6.468	7.585	8.405	2.088	6.823	9.209	5.057	4.273	6.424	1.745	5.694	6.558	7.028	7.349	4.296	3.838	1.806	]
[6.001	0.000	0.296	0.551	1.674	7.676	7.991	7.806	3.235	10.078	9.423	7.480	4.295	7.258	4.299	6.909	7.475	1.706	2.203	4.382	]
[5.939	0.296	0.000	0.529	1.660	7.937	7.954	8.014	3.361	10.126	9.458	7.681	4.214	7.437	4.566	7.145	7.708	1.661	2.198	4.277	]
[6.468	0.551	0.529	0.000	1.141	8.099	8.481	8.312	2.855	10.619	9.959	7.993	4.743	7.789	4.713	7.383	7.950	2.187	2.713	4.803	]
[7.585	1.674	1.660	1.141	0.000	8.778	9.611	9.210	1.986	11.751	11.096	8.912	5.851	8.766	5.419	8.193	8.761	3.321	3.854	5.888	]
[8.405	7.676	7.937	8.099	8.778	0.000	8.931	2.325	8.638	8.145	8.060	2.520	8.035	3.252	3.386	1.396	1.294	7.411	7.075	8.408	]
[2.088	7.991	7.954	8.481	9.611	8.931	0.000	6.955	11.153	3.370	2.599	6.602	3.817	5.817	7.810	7.541	7.722	6.294	5.793	3.894	]
[6.823	7.806	8.014	8.312	9.210	2.325	6.955	0.000	9.558	5.835	5.796	0.408	6.887	1.150	4.027	1.367	1.061	7.036	6.567	7.263	]
[9.209	3.235	3.361	2.855	1.986	8.638	11.153	9.558	0.000	12.949	12.356	9.325	7.523	9.345	5.540	8.363	8.913	4.927	5.375	7.617	]
[5.057	10.078	10.126	10.619	11.751	8.145	3.370	5.835	12.949	0.000	0.790	5.630	6.511	4.956	8.383	6.929	6.853	8.522	7.953	6.721	]
[4.273	9.423	9.458	9.959	11.096	8.060	2.599	5.796	12.356	0.790	0.000	5.544	5.755	4.817	7.987	6.779	6.768	7.837	7.272	5.954	]
[6.424	7.480	7.681	7.993	8.912	2.520	6.602	0.408	9.325	5.630	5.544	0.000	6.480	0.785	3.820	1.365	1.226	6.666	6.189	6.856	]
[1.745	4.295	4.214	4.743	5.851	8.035	3.817	6.887	7.523	6.511	5.755	6.480	0.000	5.861	5.594	6.746	7.171	2.596	2.200	0.378	]
[5.694	7.258	7.437	7.789	8.766	3.252	5.817	1.150	9.345	4.956	4.817	0.785	5.861	0.000	3.968	1.973	1.969	6.292	5.782	6.233	]
[6.558	4.299	4.566	4.713	5.419	3.386	7.810	4.027	5.540	8.383	7.987	3.820	5.594	3.968	0.000	2.834	3.393	4.257	4.048	5.925	]
[7.028	6.909	7.145	7.383	8.193	1.396	7.541	1.367	8.363	6.929	6.779	1.365	6.746	1.973	2.834	0.000	0.569	6.393	5.996	7.123	]
[7.349	7.475	7.708	7.950	8.761	1.294	7.722	1.061	8.913	6.853	6.768	1.226	7.171	1.969	3.393	0.569	0.000	6.929	6.518	7.549	]
[4.296	1.706	1.661	2.187	3.321	7.411	6.294	7.036	4.927	8.522	7.837	6.666	2.596	6.292	4.257	6.393	6.929	0.000	0.577	2.710	]
[3.838	2.203	2.198	2.713	3.854	7.075	5.793	6.567	5.375	7.953	7.272	6.189	2.200	5.782	4.048	5.996	6.518	0.577	0.000	2.377	]
[1.806	4.382	4.277	4.803	5.888	8.408	3.894	7.263	7.617	6.721	5.954	6.856	0.378	6.233	5.925	7.123	7.549	2.710	2.377	0.000	]
];
