N=50;
nK1=19;
nK2=18;
nK3=13;
K1=[1 	3 	6 	15 	18 	21 	23 	24 	27 	33 	34 	35 	37 	40 	41 	45 	46 	47 	48 	];
K2=[2 	5 	7 	11 	12 	17 	19 	22 	25 	26 	28 	31 	36 	38 	39 	44 	49 	50 	];
K3=[4 	8 	9 	10 	13 	14 	16 	20 	29 	30 	32 	42 	43 	];
DG=[3.770000e+01	3.640000e+01	5.720000e+01	3.510000e+01	6.110000e+01	4.290000e+01	4.680000e+01	3.510000e+01	4.290000e+01	4.550000e+01	5.720000e+01	3.120000e+01	3.770000e+01	4.680000e+01	4.030000e+01	3.770000e+01	3.380000e+01	3.120000e+01	5.460000e+01	5.330000e+01	5.070000e+01	4.420000e+01	4.940000e+01	3.120000e+01	4.680000e+01	4.030000e+01	4.290000e+01	4.810000e+01	4.940000e+01	4.030000e+01	39	5.330000e+01	4.160000e+01	5.980000e+01	3.770000e+01	5.460000e+01	2.860000e+01	26	65	6.370000e+01	2.860000e+01	4.810000e+01	3.250000e+01	3.510000e+01	4.420000e+01	5.590000e+01	6.240000e+01	5.070000e+01	5.460000e+01	3.380000e+01	];
LOAD=[29	28	44	27	47	33	36	27	33	35	44	24	29	36	31	29	26	24	42	41	39	34	38	24	36	31	33	37	38	31	30	41	32	46	29	42	22	20	50	49	22	37	25	27	34	43	48	39	42	26	];
DIST=[[0.000	8.180	2.400	8.801	7.071	7.044	6.840	6.648	4.331	7.758	5.598	11.395	3.866	10.130	5.787	4.559	6.235	4.654	7.101	7.635	11.824	2.744	7.897	5.360	11.415	5.470	7.022	10.054	10.492	6.242	1.224	9.320	8.722	6.729	9.828	6.882	8.272	4.870	8.086	7.894	8.561	10.942	5.886	6.974	7.909	8.055	4.919	6.102	6.456	8.831	]
[8.180	0.000	8.625	4.903	7.877	8.022	4.877	3.686	8.852	0.568	9.938	6.890	8.356	4.055	4.045	3.621	6.901	3.541	3.155	1.570	8.299	6.407	9.623	5.036	7.849	2.725	8.396	4.407	5.166	8.346	9.337	6.435	2.361	5.545	6.616	2.578	3.108	3.571	11.269	1.357	8.698	5.705	3.703	3.285	7.139	5.955	4.470	8.229	1.725	9.150	]
[2.400	8.625	0.000	7.848	5.159	5.093	5.846	6.091	1.989	8.112	3.201	10.237	1.631	9.578	5.249	5.239	4.563	5.439	6.676	8.511	10.372	2.219	5.683	4.475	10.008	6.159	4.977	9.384	9.668	4.148	2.228	7.991	8.505	5.512	8.511	6.695	7.816	5.055	5.698	8.714	6.592	10.039	5.475	6.519	6.259	6.748	4.454	4.028	7.005	6.795	]
[8.801	4.903	7.848	0.000	4.237	4.410	2.009	2.348	6.928	4.481	7.427	2.665	6.700	2.217	3.101	5.572	3.811	5.757	2.266	6.251	3.624	6.102	5.801	3.465	3.157	5.404	4.835	1.802	1.847	5.238	9.576	1.546	2.693	2.396	1.727	2.918	1.795	4.605	7.744	6.147	4.390	2.192	3.131	2.278	2.941	1.610	3.931	5.198	4.972	4.807	]
[7.071	7.877	5.159	4.237	0.000	0.174	3.037	4.192	3.482	7.322	3.443	5.802	3.572	6.445	3.983	6.329	1.122	6.601	4.761	8.696	5.479	4.584	1.746	3.164	5.195	6.792	0.599	6.038	5.948	1.204	7.340	3.515	6.362	2.351	3.978	5.300	5.358	5.385	3.552	8.733	1.494	6.102	4.314	4.614	1.446	2.637	4.048	1.251	7.006	1.816	]
[7.044	8.022	5.093	4.410	0.174	0.000	3.194	4.338	3.378	7.466	3.293	5.961	3.493	6.618	4.108	6.417	1.215	6.690	4.913	8.824	5.611	4.593	1.601	3.269	5.335	6.897	0.425	6.212	6.120	1.072	7.285	3.679	6.526	2.506	4.138	5.445	5.524	5.483	3.383	8.865	1.518	6.271	4.441	4.765	1.609	2.811	4.145	1.134	7.130	1.805	]
[6.840	4.877	5.846	2.009	3.037	3.194	0.000	1.221	5.054	4.334	5.734	4.555	4.768	3.866	1.452	4.166	2.206	4.402	1.731	5.844	5.140	4.117	4.779	1.480	4.697	4.302	3.593	3.594	3.823	3.726	7.577	2.617	3.375	0.689	3.084	2.320	2.406	3.132	6.542	5.839	3.851	4.200	1.665	1.593	2.322	1.478	2.111	3.644	4.239	4.303	]
[6.648	3.686	6.091	2.348	4.192	4.338	1.221	0.000	5.680	3.134	6.554	5.008	5.294	3.523	0.869	3.249	3.245	3.451	0.647	4.625	5.892	4.074	5.938	1.685	5.429	3.212	4.718	3.408	3.863	4.734	7.540	3.477	2.509	1.863	3.863	1.111	1.726	2.260	7.626	4.618	5.072	4.342	0.795	0.478	3.540	2.554	1.736	4.630	3.041	5.523	]
