N=10;
nK1=4;
nK2=3;
nK3=3;
K1=[1 	6 	8 	10 	];
K2=[4 	5 	9 	];
K3=[2 	3 	7 	];
DG=[3.360000e+01	6.580000e+01	3.920000e+01	5.460000e+01	3.220000e+01	5.320000e+01	6.580000e+01	42	6.580000e+01	70	];
LOAD=[24	47	28	39	23	38	47	30	47	50	];
DIST=[[0.000	4.312	5.004	5.144	5.002	7.742	3.937	2.182	3.261	4.190	]
[4.312	0.000	4.277	4.662	8.708	9.255	5.960	6.481	6.916	0.382	]
[5.004	4.277	0.000	0.400	6.712	5.242	3.106	6.341	5.343	3.896	]
[5.144	4.662	0.400	0.000	6.524	4.848	2.904	6.358	5.232	4.280	]
[5.002	8.708	6.712	6.524	0.000	5.249	3.620	3.425	1.807	8.449	]
[7.742	9.255	5.242	4.848	5.249	0.000	3.822	7.533	5.420	8.883	]
[3.937	5.960	3.106	2.904	3.620	3.822	0.000	4.160	2.487	5.625	]
[2.182	6.481	6.341	6.358	3.425	7.533	4.160	0.000	2.160	6.338	]
[3.261	6.916	5.343	5.232	1.807	5.420	2.487	2.160	0.000	6.668	]
[4.190	0.382	3.896	4.280	8.449	8.883	5.625	6.338	6.668	0.000	]
];
