N=10;
nK1=3;
nK2=4;
nK3=3;
K1=[4 	8 	10 	];
K2=[1 	2 	6 	7 	];
K3=[3 	5 	9 	];
DG=[4.320000e+01	6.240000e+01	4.480000e+01	3.360000e+01	4.160000e+01	6.720000e+01	3.680000e+01	40	5.760000e+01	5.280000e+01	];
LOAD=[27	39	28	21	26	42	23	25	36	33	];
DIST=[[0.000	1.161	5.601	2.613	5.431	4.276	6.134	5.371	7.350	4.413	]
[1.161	0.000	4.988	1.688	4.294	4.708	7.179	6.318	7.149	5.221	]
[5.601	4.988	0.000	3.394	4.009	4.484	8.933	7.645	3.065	6.239	]
[2.613	1.688	3.394	0.000	3.063	4.446	7.877	6.815	5.883	5.516	]
[5.431	4.294	4.009	3.063	0.000	7.170	10.925	9.825	7.074	8.481	]
[4.276	4.708	4.484	4.446	7.170	0.000	4.497	3.188	4.182	1.821	]
[6.134	7.179	8.933	7.877	10.925	4.497	0.000	1.317	8.395	2.696	]
[5.371	6.318	7.645	6.815	9.825	3.188	1.317	0.000	7.098	1.415	]
[7.350	7.149	3.065	5.883	7.074	4.182	8.395	7.098	0.000	5.902	]
[4.413	5.221	6.239	5.516	8.481	1.821	2.696	1.415	5.902	0.000	]
];
