N=20;
nK1=6;
nK2=9;
nK3=5;
K1=[1 	3 	5 	7 	12 	20 	];
K2=[2 	6 	10 	11 	13 	14 	15 	17 	18 	];
K3=[4 	8 	9 	16 	19 	];
DG=[4.060000e+01	6.020000e+01	4.340000e+01	5.880000e+01	3.920000e+01	4.060000e+01	6.300000e+01	6.440000e+01	56	70	5.740000e+01	4.480000e+01	5.740000e+01	49	6.300000e+01	3.920000e+01	4.480000e+01	6.440000e+01	6.860000e+01	5.460000e+01	];
LOAD=[29	43	31	42	28	29	45	46	40	50	41	32	41	35	45	28	32	46	49	39	];
DIST=[[0.000	1.727	4.053	5.959	2.932	6.676	3.069	6.825	4.824	4.399	3.740	4.389	7.120	5.385	5.251	4.011	2.344	4.595	4.716	6.667	]
[1.727	0.000	3.550	7.522	2.542	8.341	2.351	8.312	6.540	5.917	3.679	5.902	8.817	7.021	4.433	5.634	1.059	5.096	6.443	8.331	]
[4.053	3.550	0.000	9.630	1.123	8.492	5.877	7.631	7.363	5.748	0.979	5.719	9.170	8.898	7.828	7.645	4.524	2.714	7.558	8.475	]
[5.959	7.522	9.630	0.000	8.604	4.958	7.245	6.681	3.489	5.502	8.968	5.530	4.660	0.899	8.502	1.989	7.598	8.769	2.910	4.971	]
[2.932	2.542	1.123	8.604	0.000	7.877	4.892	7.253	6.553	5.151	1.181	5.125	8.511	7.902	6.932	6.615	3.569	2.869	6.688	7.861	]
[6.676	8.341	8.492	4.958	7.877	0.000	9.414	1.979	2.096	2.744	7.547	2.774	0.771	4.184	11.359	4.503	9.005	6.379	2.569	0.022	]
[3.069	2.351	5.877	7.245	4.892	9.414	0.000	9.817	7.390	7.397	6.024	7.391	9.735	7.010	2.196	5.705	1.363	7.349	7.108	9.409	]
[6.825	8.312	7.631	6.681	7.253	1.979	9.817	0.000	3.324	2.427	6.653	2.436	2.682	5.834	11.914	5.792	9.146	5.165	3.918	1.958	]
[4.824	6.540	7.363	3.489	6.553	2.096	7.390	3.324	0.000	2.130	6.507	2.162	2.346	2.600	9.285	2.496	7.095	5.795	0.600	2.097	]
[4.399	5.917	5.748	5.502	5.151	2.744	7.397	2.427	2.130	0.000	4.809	0.034	3.429	4.604	9.512	4.048	6.725	3.784	2.628	2.728	]
[3.740	3.679	0.979	8.968	1.181	7.547	6.024	6.653	6.507	4.809	0.000	4.778	8.237	8.198	8.096	7.003	4.723	1.811	6.743	7.529	]
[4.389	5.902	5.719	5.530	5.125	2.774	7.391	2.436	2.162	0.034	4.778	0.000	3.460	4.632	9.508	4.069	6.714	3.751	2.658	2.757	]
[7.120	8.817	9.170	4.660	8.511	0.771	9.735	2.682	2.346	3.429	8.237	3.460	0.000	3.972	11.606	4.525	9.421	7.122	2.683	0.793	]
[5.385	7.021	8.898	0.899	7.902	4.184	7.010	5.834	2.600	4.604	8.198	4.632	3.972	0.000	8.464	1.387	7.209	7.918	2.015	4.196	]
[5.251	4.433	7.828	8.502	6.932	11.359	2.196	11.914	9.285	9.512	8.096	9.508	11.606	8.464	0.000	7.297	3.377	9.508	8.930	11.356	]
[4.011	5.634	7.645	1.989	6.615	4.503	5.705	5.792	2.496	4.048	7.003	4.069	4.525	1.387	7.297	0.000	5.834	6.927	1.943	4.508	]
[2.344	1.059	4.524	7.598	3.569	9.005	1.363	9.146	7.095	6.725	4.723	6.714	9.421	7.209	3.377	5.834	0.000	6.153	6.918	8.997	]
[4.595	5.096	2.714	8.769	2.869	6.379	7.349	5.165	5.795	3.784	1.811	3.751	7.122	7.918	9.508	6.927	6.153	0.000	6.170	6.359	]
[4.716	6.443	7.558	2.910	6.688	2.569	7.108	3.918	0.600	2.628	6.743	2.658	2.683	2.015	8.930	1.943	6.918	6.170	0.000	2.573	]
[6.667	8.331	8.475	4.971	7.861	0.022	9.409	1.958	2.097	2.728	7.529	2.757	0.793	4.196	11.356	4.508	8.997	6.359	2.573	0.000	]
];
