N=10;
nK1=4;
nK2=3;
nK3=3;
K1=[6 	8 	9 	10 	];
K2=[1 	3 	5 	];
K3=[2 	4 	7 	];
DG=[60	72	33	63	5.850000e+01	63	3.750000e+01	6.150000e+01	7.350000e+01	63	];
LOAD=[40	48	22	42	39	42	25	41	49	42	];
DIST=[[0.000	2.828	8.896	2.892	5.244	4.224	4.197	3.949	5.903	7.249	]
[2.828	0.000	9.450	5.118	5.620	4.105	2.845	1.152	3.077	6.114	]
[8.896	9.450	0.000	6.715	3.843	5.351	6.984	9.598	10.730	5.337	]
[2.892	5.118	6.715	0.000	3.774	3.692	4.863	6.014	7.927	6.891	]
[5.244	5.620	3.843	3.774	0.000	1.567	3.374	5.861	7.226	3.490	]
[4.224	4.105	5.351	3.692	1.567	0.000	1.856	4.295	5.697	3.248	]
[4.197	2.845	6.984	4.863	3.374	1.856	0.000	2.651	3.852	3.304	]
[3.949	1.152	9.598	6.014	5.861	4.295	2.651	0.000	1.968	5.667	]
[5.903	3.077	10.730	7.927	7.226	5.697	3.852	1.968	0.000	6.068	]
[7.249	6.114	5.337	6.891	3.490	3.248	3.304	5.667	6.068	0.000	]
];
