N=10;
nK1=2;
nK2=5;
nK3=3;
K1=[4 	8 	];
K2=[2 	3 	6 	9 	10 	];
K3=[1 	5 	7 	];
DG=[4.590000e+01	3.740000e+01	3.570000e+01	6.970000e+01	7.820000e+01	7.140000e+01	4.080000e+01	5.780000e+01	68	8.160000e+01	];
LOAD=[27	22	21	41	46	42	24	34	40	48	];
DIST=[[0.000	7.855	7.022	1.210	3.722	2.291	3.171	0.094	7.200	2.591	]
[7.855	0.000	4.392	8.989	8.298	9.993	8.113	7.923	7.437	7.455	]
[7.022	4.392	0.000	8.210	9.329	8.472	8.917	7.114	10.297	8.103	]
[1.210	8.989	8.210	0.000	3.596	1.688	3.086	1.124	7.487	2.791	]
[3.722	8.298	9.329	3.596	0.000	5.267	0.551	3.666	4.110	1.299	]
[2.291	9.993	8.472	1.688	5.267	0.000	4.767	2.257	9.169	4.466	]
[3.171	8.113	8.917	3.086	0.551	4.767	0.000	3.116	4.498	0.818	]
[0.094	7.923	7.114	1.124	3.666	2.257	3.116	0.000	7.180	2.552	]
[7.200	7.437	10.297	7.487	4.110	9.169	4.498	7.180	0.000	4.706	]
[2.591	7.455	8.103	2.791	1.299	4.466	0.818	2.552	4.706	0.000	]
];
